dsc_cycle,axi_cycle,phase,slice_buffer_valid,slice_buffer_last,flatness_valid,flatness_last,predict_valid,predict_last
2905,968,pixel_transfer,2,0,3,0,3,0
2908,969,pixel_transfer,1,0,0,0,0,0
2909,969,pixel_transfer,2,0,3,0,3,0
2912,970,pixel_transfer,1,0,0,0,0,0
2913,970,pixel_transfer,2,0,3,1,3,0
2916,971,pixel_transfer,1,0,0,0,0,0
2917,972,pixel_transfer,2,0,2,0,3,1
2920,973,pixel_transfer,1,0,0,0,0,0
2921,973,pixel_transfer,2,0,2,0,2,0
2924,974,pixel_transfer,1,0,0,0,0,0
2925,974,pixel_transfer,2,0,2,0,2,0
2928,975,pixel_transfer,1,0,0,0,0,0
2929,976,pixel_transfer,2,0,2,0,2,0
2932,977,pixel_transfer,1,0,0,0,0,0
2933,977,pixel_transfer,2,0,2,0,2,0
2936,978,pixel_transfer,1,0,1,0,0,0
2937,978,pixel_transfer,2,0,2,0,2,0
2940,979,pixel_transfer,1,0,1,0,1,0
2941,980,pixel_transfer,2,0,2,0,2,0
2944,981,pixel_transfer,1,0,1,0,1,0
2945,981,pixel_transfer,2,0,2,0,2,0
2948,982,pixel_transfer,1,0,1,0,1,0
2949,982,pixel_transfer,2,0,2,0,2,0
2952,983,pixel_transfer,1,0,1,0,1,0
2953,984,pixel_transfer,2,0,2,0,2,0
2956,985,pixel_transfer,1,0,1,0,1,0
2957,985,pixel_transfer,2,2,2,0,2,0
2960,986,pixel_transfer,1,0,1,0,1,0
2961,986,pixel_transfer,0,0,2,0,2,0
2964,987,pixel_transfer,1,0,1,0,1,0
2965,988,pixel_transfer,0,0,2,0,2,0
2968,989,pixel_transfer,1,0,1,0,1,0
2969,989,pixel_transfer,0,0,2,0,2,0
2972,990,pixel_transfer,1,0,1,0,1,0
2973,990,pixel_transfer,0,0,2,0,2,0
2976,991,pixel_transfer,1,0,1,0,1,0
2977,992,pixel_transfer,0,0,2,0,2,0
2980,993,pixel_transfer,3,0,1,0,1,0
2981,993,pixel_transfer,0,0,2,0,2,0
2984,994,pixel_transfer,3,0,1,0,1,0
2985,994,pixel_transfer,0,0,2,2,2,0
2988,995,pixel_transfer,3,0,1,0,1,0
2989,996,pixel_transfer,0,0,0,0,2,2
2992,997,line_marker,3,0,1,0,1,0
2996,998,pixel_transfer,3,0,1,0,1,0
3000,999,pixel_transfer,3,0,1,0,1,0
3004,1001,pixel_transfer,3,0,1,0,1,0
3008,1002,pixel_transfer,3,0,3,0,1,0
3012,1003,pixel_transfer,3,0,3,0,3,0
3016,1005,pixel_transfer,3,0,3,0,3,0
3020,1006,pixel_transfer,3,0,3,0,3,0
3024,1007,pixel_transfer,3,0,3,0,3,0
3028,1009,pixel_transfer,3,0,3,0,3,0
3032,1010,pixel_transfer,3,1,3,0,3,0
3036,1011,pixel_transfer,2,0,3,0,3,0
3040,1013,pixel_transfer,2,0,3,0,3,0
3044,1014,pixel_transfer,2,0,3,0,3,0
3048,1015,pixel_transfer,2,0,3,0,3,0
3052,1017,pixel_transfer,2,0,3,0,3,0
3055,1018,pixel_transfer,1,0,0,0,0,0
3056,1018,pixel_transfer,2,0,3,0,3,0
3059,1019,pixel_transfer,1,0,0,0,0,0
3060,1019,pixel_transfer,2,0,3,1,3,0
3063,1020,pixel_transfer,1,0,0,0,0,0
3064,1021,pixel_transfer,2,0,2,0,3,1
3067,1022,pixel_transfer,1,0,0,0,0,0
3068,1022,pixel_transfer,2,0,2,0,2,0
3071,1023,pixel_transfer,1,0,0,0,0,0
3072,1023,pixel_transfer,2,0,2,0,2,0
3075,1024,pixel_transfer,1,0,0,0,0,0
3076,1025,pixel_transfer,2,0,2,0,2,0
3079,1026,pixel_transfer,1,0,0,0,0,0
3080,1026,pixel_transfer,2,0,2,0,2,0
3083,1027,pixel_transfer,1,0,1,0,0,0
3084,1027,pixel_transfer,2,0,2,0,2,0
3087,1028,pixel_transfer,1,0,1,0,1,0
3088,1029,pixel_transfer,2,0,2,0,2,0
3091,1030,pixel_transfer,1,0,1,0,1,0
3092,1030,pixel_transfer,2,0,2,0,2,0
3095,1031,pixel_transfer,1,0,1,0,1,0
3096,1031,pixel_transfer,2,0,2,0,2,0
3099,1032,pixel_transfer,1,0,1,0,1,0
3100,1033,pixel_transfer,2,0,2,0,2,0
3103,1034,pixel_transfer,1,0,1,0,1,0
3104,1034,pixel_transfer,2,2,2,0,2,0
3107,1035,pixel_transfer,1,0,1,0,1,0
3108,1035,pixel_transfer,0,0,2,0,2,0
3111,1036,pixel_transfer,1,0,1,0,1,0
3112,1037,pixel_transfer,0,0,2,0,2,0
3115,1038,pixel_transfer,1,0,1,0,1,0
3116,1038,pixel_transfer,0,0,2,0,2,0
3119,1039,pixel_transfer,1,0,1,0,1,0
3120,1039,pixel_transfer,0,0,2,0,2,0
3123,1040,pixel_transfer,1,0,1,0,1,0
3124,1041,pixel_transfer,0,0,2,0,2,0
3127,1042,pixel_transfer,3,0,1,0,1,0
3128,1042,pixel_transfer,0,0,2,0,2,0
3131,1043,pixel_transfer,3,0,1,0,1,0
3132,1043,pixel_transfer,0,0,2,2,2,0
3135,1044,pixel_transfer,3,0,1,0,1,0
3136,1045,pixel_transfer,0,0,0,0,2,2
3139,1046,line_marker,3,0,1,0,1,0
